and	and	そして
reaches	reach	来る [くる]
reaching	reach	来る [くる]
evil	evil	黒い [くろい]
eviler	evil	黒い [くろい]
evilest	evil	黒い [くろい]
evils	evil	黒い [くろい]
role	role	（俳優の）ステーション
roles	role	（俳優の）ステーション
apply	apply	（スタッフ）
applies	apply	（スタッフ）
applied	apply	（スタッフ）
applying	apply	（スタッフ）
relevant	relevant	関連
forever	forever	永遠に
necessarily	necessarily	must
zero	zero	ゼロ
zeroed	zero	ゼロ
zeroes	zero	ゼロ
zeroing	zero	ゼロ
zeros	zero	ゼロ
blame	blame	叱責する
blamed	blame	叱責する
blamer	blame	叱責する
blames	blame	叱責する
blaming	blame	叱責する
user	user	つかいて
users	user	つかいて
waste	waste	無駄にする
wasted	waste	無駄にする
wastes	waste	無駄にする
wastings	waste	無駄にする
button	button	ボタンアップするにはボタンアップ
buttoned	button	ボタンアップするにはボタンアップ
buttoning	button	ボタンアップするにはボタンアップ
buttons	button	ボタンアップするにはボタンアップ
buttonses	button	ボタンアップするにはボタンアップ
dream	dream	すいむ
dreamed	dream	すいむ
dreamings	dream	すいむ
dreams	dream	すいむ
husband	husband	夫を救う
husbanded	husband	夫を救う
husbanding	husband	夫を救う
husbands	husband	夫を救う
beginning	beginning	とっぱな
beginnings	beginning	とっぱな
fault	fault	ドローバック
faulted	fault	ドローバック
faulting	fault	ドローバック
faults	fault	ドローバック
universe	universe	宇宙
universes	universe	宇宙
table	table	テーブル
tabled	table	テーブル
tables	table	テーブル
tabling	table	テーブル
tablings	table	テーブル
income	income	しゅうにゅう
incomes	income	しゅうにゅう
rare	rare	レア
rarer	rare	レア
rarest	rare	レア
asshole	asshole	ブットホール
assholes	asshole	ブットホール
pressure	pressure	プレス、プッシュ
pressured	pressure	プレス、プッシュ
pressures	pressure	プレス、プッシュ
pressuring	pressure	プレス、プッシュ
cute	cute	かわいい
cuter	cute	かわいい
afford	afford	余裕がある
afforded	afford	余裕がある
affording	afford	余裕がある
affords	afford	余裕がある
reference	reference	メモ
referenced	reference	メモ
references	reference	メモ
referencing	reference	メモ
king	king	王
kings	king	王
argue	argue	話し合う
argued	argue	話し合う
argues	argue	話し合う
arguing	argue	話し合う
student	student	在籍者 (学習者)
students	student	在籍者 (学習者)
afraid	afraid	怖い
report	report	ほうこ
reported	report	ほうこ
reportings	report	ほうこ
reports	report	ほうこ
solution	solution	溶かす
solutions	solution	溶かす
summer	summer	夏夏を過ごそう
summered	summer	夏夏を過ごそう
summering	summer	夏夏を過ごそう
summerings	summer	夏夏を過ごそう
summers	summer	夏夏を過ごそう
suppose	suppose	想像する
supposed	suppose	想像する
supposes	suppose	想像する
supposing	suppose	想像する
supposings	suppose	想像する
block	block	固まり
blocked	block	固まり
blockings	block	固まり
blocks	block	固まり
roll	roll	Gourda
rolled	roll	Gourda
rollings	roll	Gourda
rolls	roll	Gourda
alright	alright	余計な手間をかけずに、
coffee	coffee	コーヒー
coffees	coffee	コーヒー
somebody	somebody	何人かの人物重要な人物
somebodies	somebody	何人かの人物重要な人物
laugh	laugh	笑う（大声で）
laughed	laugh	笑う（大声で）
laughing	laugh	笑う（大声で）
laughings	laugh	笑う（大声で）
laughs	laugh	笑う（大声で）
bill	bill	つけだし
billed	bill	つけだし
billings	bill	つけだし
bills	bill	つけだし
career	career	えつれき
careered	career	えつれき
careering	career	えつれき
careers	career	えつれき
powerful	powerful	強い [つよい]
tough	tough	硬い [かたい]
tougher	tough	硬い [かたい]
toughest	tough	硬い [かたい]
toughs	tough	硬い [かたい]
benefit	benefit	りえき
benefited	benefit	りえき
benefiting	benefit	りえき
benefits	benefit	りえき
benefitted	benefit	りえき
benefitting	benefit	りえき
study	study	がく
studies	study	がく
studied	study	がく
studying	study	がく
studys	study	がく
girlfriend	girlfriend	ガールフレンド
girlfriends	girlfriend	ガールフレンド
everywhere	everywhere	どこにでも
purpose	purpose	もくてき
purposed	purpose	もくてき
purposes	purpose	もくてき
purposing	purpose	もくてき
church	church	きょうかいどう
churched	church	きょうかいどう
churches	church	きょうかいどう
churching	church	きょうかいどう
churchings	church	きょうかいどう
tonight	tonight	今夜、今夜、今夜
tonights	tonight	今夜、今夜、今夜
pack	pack	つつみ
packed	pack	つつみ
packings	pack	つつみ
packs	pack	つつみ
active	active	有効
actives	active	有効
broke	broke	break's past a.破産して
thus	thus	（こうして）
thuses	thus	（こうして）
mouth	mouth	口
mouthed	mouth	口
mouthes	mouth	口
mouthing	mouth	口
mouthings	mouth	口
mouths	mouth	口
park	park	こういん
parked	park	こういん
parkings	park	こういん
parks	park	こういん
helpful	helpful	役に立った
file	file	紙のパンくずリスト
filed	file	紙のパンくずリスト
files	file	紙のパンくずリスト
filings	file	紙のパンくずリスト
married	married	既婚
marrieds	married	既婚
metal	metal	きんぞく
metaled	metal	きんぞく
metaler	metal	きんぞく
metaling	metal	きんぞく
metals	metal	きんぞく
proper	proper	ユニーク
properer	proper	ユニーク
properest	proper	ユニーク
freedom	freedom	リバティー
freedoms	freedom	リバティー
properly	properly	ある程度
individual	individual	かいいん
individuals	individual	かいいん
brand	brand	商標
branded	brand	商標
branding	brand	商標
brands	brand	商標
drunk	drunk	過去に飲み物を注射したことがあるa.酔っぱらったスター
drunker	drunk	過去に飲み物を注射したことがあるa.酔っぱらったスター
drunkest	drunk	過去に飲み物を注射したことがあるa.酔っぱらったスター
drunks	drunk	過去に飲み物を注射したことがあるa.酔っぱらったスター
concept	concept	コンセプト
concepts	concept	コンセプト
smoke	smoke	れんき
smoked	smoke	れんき
smokes	smoke	れんき
smokings	smoke	れんき
opposite	opposite	向き合う
opposites	opposite	向き合う
gain	gain	得る
gained	gain	得る
gaining	gain	得る
gainings	gain	得る
gains	gain	得る
gas	gas	ガス
gases	gas	ガス
gassed	gas	ガス
gasses	gas	ガス
gassing	gas	ガス
ill	ill	病気
ills	ill	病気
id	id	ID （個人の本能的な衝動の源）
ids	id	ID （個人の本能的な衝動の源）
software	software	ソフトウェア
softwares	software	ソフトウェア
fake	fake	鍛造するために
faked	fake	鍛造するために
fakes	fake	鍛造するために
faking	fake	鍛造するために
prove	prove	試みる [こころみる]
proved	prove	試みる [こころみる]
proven	prove	試みる [こころみる]
proves	prove	試みる [こころみる]
proving	prove	試みる [こころみる]
provings	prove	試みる [こころみる]
setting	setting	（固定）設置
settings	setting	（固定）設置
mistake	mistake	誤
mistaken	mistake	誤
mistakes	mistake	誤
mistakings	mistake	誤
mistook	mistake	誤
trip	trip	りょこう
tripes	trip	りょこう
tripped	trip	りょこう
tripping	trip	りょこう
trips	trip	りょこう
tripses	trip	りょこう
speaking	speaking	談
till	till	...まで
tilled	till	...まで
tillings	till	...まで
tills	till	...まで
ride	ride	多田
ridden	ride	多田
rode	ride	多田
armor	armor	よろい
armored	armor	よろい
armoring	armor	よろい
armors	armor	よろい
shooting	shooting	しゃかく
band	band	グループコネクター
banded	band	グループコネクター
bandings	band	グループコネクター
bands	band	グループコネクター
hero	hero	英雄
heroes	hero	英雄
heros	hero	英雄
normally	normally	ある程度
ignore	ignore	無視する
ignored	ignore	無視する
ignores	ignore	無視する
ignoring	ignore	無視する
stats	stats	とうけい
pop	pop	ポップ
popped	pop	ポップ
popping	pop	ポップ
pops	pop	ポップ
tip	tip	天端
tipped	tip	天端
tipping	tip	天端
tips	tip	天端
non	non	これは
score	score	ゴール
scored	score	ゴール
scores	score	ゴール
scorings	score	ゴール
upgrade	upgrade	上り坂
upgraded	upgrade	上り坂
upgrades	upgrade	上り坂
upgrading	upgrade	上り坂
upgradings	upgrade	上り坂
lane	lane	狭い道
lanes	lane	狭い道
stream	stream	まちなか
streamed	stream	まちなか
streamings	stream	まちなか
streams	stream	まちなか
barely	barely	精々
insurance	insurance	ほけん
insurances	insurance	ほけん
heat	heat	熱性ガラス
heated	heat	熱性ガラス
heatings	heat	熱性ガラス
heats	heat	熱性ガラス
center	center	まっしん
centered	center	まっしん
centerer	center	まっしん
centerings	center	まっしん
centers	center	まっしん
copy	copy	マニュスクリプト
copies	copy	マニュスクリプト
copied	copy	マニュスクリプト
copying	copy	マニュスクリプト
silly	silly	バカなバカ
sillies	silly	バカなバカ
silliest	silly	バカなバカ
sillier	silly	バカなバカ
spending	spending	払い出し
amazon	amazon	アマゾン
amazons	amazon	アマゾン
everybody	everybody	全員
battery	battery	てんち
batteries	battery	てんち
drinking	drinking	ドリンク
logic	logic	ロジック
logics	logic	ロジック
essentially	essentially	基本的に
rich	rich	リッチ
richer	rich	リッチ
richest	rich	リッチ
