and	and	그리고
hesitance	hesitance	주저
hesitances	hesitance	주저
puppetry	puppetry	꼭두각시
puppetries	puppetry	꼭두각시
telephony	telephony	전화 통신
telephonies	telephony	전화 통신
groundless	groundless	근거 없는
backwardness	backwardness	후진성
backwardnesses	backwardness	후진성
unrecorded	unrecorded	녹음되지 않은
immorally	immorally	부도덕하게
jetsam	jetsam	그래요
jetsams	jetsam	그래요
axolotl	axolotl	아홀로틀
axolotls	axolotl	아홀로틀
mangold	mangold	맨골드
mangolds	mangold	맨골드
velodrome	velodrome	벨로드롬
velodromes	velodrome	벨로드롬
storehouse	storehouse	창고
storehouses	storehouse	창고
shipbuilding	shipbuilding	조선
shipbuildings	shipbuilding	조선
distributive	distributive	분배적인
monied	monied	돈을 받았다
greaser	greaser	기름칠하는 사람
greasers	greaser	기름칠하는 사람
curacao	curacao	큐라소
curacaos	curacao	큐라소
affectation	affectation	허식
affectations	affectation	허식
perforation	perforation	천공
perforations	perforation	천공
bunsen	bunsen	분젠
bunsens	bunsen	분젠
shakiness	shakiness	흔들림
shakinesses	shakiness	흔들림
inadequately	inadequately	부적절하게
thermocouple	thermocouple	열전대
thermocouples	thermocouple	열전대
insufferably	insufferably	참을 수 없을 정도로
thoughtlessly	thoughtlessly	무심코
readjustment	readjustment	재조정
readjustments	readjustment	재조정
kudzu	kudzu	칡
kudzus	kudzu	칡
activeness	activeness	활동성
activenesses	activeness	활동성
gizzard	gizzard	사낭
gizzards	gizzard	사낭
supportable	supportable	지원 가능
pigtail	pigtail	변발
pigtails	pigtail	변발
freon	freon	프레온
freons	freon	프레온
trounce	trounce	트롱스
trounced	trounce	트롱스
trounces	trounce	트롱스
trouncings	trounce	트롱스
aquaculture	aquaculture	양식업
aquacultures	aquaculture	양식업
serially	serially	연속적으로
indiscretion	indiscretion	무분별
indiscretions	indiscretion	무분별
legalism	legalism	율법주의
legalisms	legalism	율법주의
lecherous	lecherous	음란한
conferencing	conferencing	회의
calif	calif	칼리프
califs	calif	칼리프
projectionist	projectionist	영사기사
projectionists	projectionist	영사기사
impel	impel	강요하다
impelled	impel	강요하다
impelling	impel	강요하다
impels	impel	강요하다
fortuitous	fortuitous	우연한
snatcher	snatcher	날치기
snatchers	snatcher	날치기
dragnet	dragnet	저인망
dragnets	dragnet	저인망
seaway	seaway	해로
seaways	seaway	해로
mudslinging	mudslinging	진흙탕 싸움
flyweight	flyweight	플라이급
flyweights	flyweight	플라이급
aqueduct	aqueduct	수로
aqueducts	aqueduct	수로
microbrewery	microbrewery	소규모 양조장
microbreweries	microbrewery	소규모 양조장
shoddily	shoddily	동의했다
scrawl	scrawl	갈겨 쓰다
scrawled	scrawl	갈겨 쓰다
scrawling	scrawl	갈겨 쓰다
scrawlings	scrawl	갈겨 쓰다
scrawls	scrawl	갈겨 쓰다
aviary	aviary	새장
aviaries	aviary	새장
gerund	gerund	동명사
gerunds	gerund	동명사
privation	privation	결핍
privations	privation	결핍
continuo	continuo	마디 없는
continuos	continuo	마디 없는
necktie	necktie	넥타이
neckties	necktie	넥타이
fishnet	fishnet	망사
fishnets	fishnet	망사
mudra	mudra	무드라
mudras	mudra	무드라
experimenter	experimenter	실험자
experimenters	experimenter	실험자
stratum	stratum	지충
strata	stratum	지충
stratums	stratum	지충
choppiness	choppiness	고르지 못한
choppinesses	choppiness	고르지 못한
methotrexate	methotrexate	메토트렉세이트
methotrexates	methotrexate	메토트렉세이트
unavoidably	unavoidably	불가피하게
crappie	crappie	크래피
crappies	crappie	크래피
tribesman	tribesman	부족민
tribesmen	tribesman	부족민
illegitimately	illegitimately	불법적으로
daiquiri	daiquiri	다이키리
daiquiris	daiquiri	다이키리
wraparound	wraparound	랩 어라운드
wraparounds	wraparound	랩 어라운드
minim	minim	최저한의
minims	minim	최저한의
tragus	tragus	트라거스
tragi	tragus	트라거스
participatory	participatory	참여
myrmidon	myrmidon	앞잡이
myrmidones	myrmidon	앞잡이
myrmidons	myrmidon	앞잡이
pageantry	pageantry	미인대회
pageantries	pageantry	미인대회
loafing	loafing	빈둥거리는
scapegoated	scapegoated	희생양이 된
indecipherable	indecipherable	해독할 수 없는
switchboard	switchboard	배전반
switchboards	switchboard	배전반
cladding	cladding	클래딩
claddings	cladding	클래딩
emasculate	emasculate	무력화하다
emasculated	emasculate	무력화하다
emasculates	emasculate	무력화하다
emasculating	emasculate	무력화하다
inoculate	inoculate	접종하다
inoculated	inoculate	접종하다
inoculates	inoculate	접종하다
inoculating	inoculate	접종하다
circuitous	circuitous	우회적인
futurism	futurism	미래주의
futurisms	futurism	미래주의
puzzler	puzzler	수수께끼
puzzlers	puzzler	수수께끼
chon	chon	촌
chons	chon	촌
impulsiveness	impulsiveness	충동성
impulsivenesses	impulsiveness	충동성
acetylene	acetylene	아세틸렌
acetylenes	acetylene	아세틸렌
rehabs	rehabs	재활원
anxiolytic	anxiolytic	불안 완화제
anxiolytics	anxiolytic	불안 완화제
kola	kola	바퀴
kolas	kola	바퀴
resurgent	resurgent	부활하다
emir	emir	왕족
emirs	emir	왕족
quickening	quickening	촉진
fortnightly	fortnightly	격주로
bauble	bauble	값싼 물건
baubles	bauble	값싼 물건
typology	typology	유형학
typologies	typology	유형학
thereon	thereon	그 위에
ayah	ayah	아버지
ayahs	ayah	아버지
garbanzo	garbanzo	가르반조
garbanzos	garbanzo	가르반조
sleepwalk	sleepwalk	몽유병
sleepwalked	sleepwalk	몽유병
sleepwalkings	sleepwalk	몽유병
sleepwalks	sleepwalk	몽유병
caldera	caldera	칼데라
calderas	caldera	칼데라
syllogism	syllogism	삼단논법
syllogisms	syllogism	삼단논법
histrionics	histrionics	연극
maraschino	maraschino	마라스키노
maraschinos	maraschino	마라스키노
neophyte	neophyte	초보자
neophytes	neophyte	초보자
envisage	envisage	상상하다
envisaged	envisage	상상하다
envisages	envisage	상상하다
envisaging	envisage	상상하다
reverberate	reverberate	반향을 일으키다
reverberated	reverberate	반향을 일으키다
reverberates	reverberate	반향을 일으키다
reverberating	reverberate	반향을 일으키다
biochemist	biochemist	생화학자
biochemists	biochemist	생화학자
warehousing	warehousing	창고
bismuth	bismuth	비스무트
bismuths	bismuth	비스무트
mangy	mangy	비열한
mangiest	mangy	비열한
mangier	mangy	비열한
rickshaw	rickshaw	인력거
rickshaws	rickshaw	인력거
footman	footman	보병
footmen	footman	보병
multiracial	multiracial	다인종
sidetrack	sidetrack	대피선
sidetracked	sidetrack	대피선
sidetracking	sidetrack	대피선
sidetracks	sidetrack	대피선
tweeze	tweeze	핀셋
tweezed	tweeze	핀셋
tweezes	tweeze	핀셋
tweezing	tweeze	핀셋
factorial	factorial	계승
factorials	factorial	계승
superannuation	superannuation	연금
superannuations	superannuation	연금
sinew	sinew	건
sinews	sinew	건
turgid	turgid	부풀어 오른
turgider	turgid	부풀어 오른
turgidest	turgid	부풀어 오른
tinsel	tinsel	반짝이는 것
tinseled	tinsel	반짝이는 것
tinseling	tinsel	반짝이는 것
tinselled	tinsel	반짝이는 것
tinselling	tinsel	반짝이는 것
tinsels	tinsel	반짝이는 것
skeptically	skeptically	회의적으로
tapper	tapper	탭 댄서
tappers	tapper	탭 댄서
baleful	baleful	해로운
neurobiology	neurobiology	신경생물학
neurobiologies	neurobiology	신경생물학
voraciously	voraciously	탐욕스럽게
pressurize	pressurize	압력을 가하다
pressurized	pressurize	압력을 가하다
pressurizes	pressurize	압력을 가하다
pressurizing	pressurize	압력을 가하다
chou	chou	슈
chous	chou	슈
choux	chou	슈
lamppost	lamppost	가로등 기둥
lampposts	lamppost	가로등 기둥
ochre	ochre	황토
beachfront	beachfront	해변가
beachfronts	beachfront	해변가
vainglory	vainglory	자만심
vainglories	vainglory	자만심
dualist	dualist	이원론자
dualists	dualist	이원론자
cachet	cachet	교갑
cachets	cachet	교갑
tenderizer	tenderizer	연화제
tenderizers	tenderizer	연화제
tonsillitis	tonsillitis	편도선염
tonsillitises	tonsillitis	편도선염
keyboardist	keyboardist	키보드 연주자
keyboardists	keyboardist	키보드 연주자
tormentor	tormentor	괴롭히는 사람
tormentors	tormentor	괴롭히는 사람
thunderclap	thunderclap	천둥소리
thunderclaps	thunderclap	천둥소리
ninny	ninny	멍청이
ninnies	ninny	멍청이
stipple	stipple	점각
stippled	stipple	점각
stipples	stipple	점각
stippling	stipple	점각
stipplings	stipple	점각
toucher	toucher	만지다
touchers	toucher	만지다
emancipator	emancipator	해방자
emancipators	emancipator	해방자
benediction	benediction	축복
benedictions	benediction	축복
overbite	overbite	지나치게 물다
overbites	overbite	지나치게 물다
tattletale	tattletale	경렴
tattletales	tattletale	경렴
gravelly	gravelly	자갈이 많은
leucine	leucine	류신
leucines	leucine	류신
incapacity	incapacity	무능력
incapacities	incapacity	무능력
bailiff	bailiff	집행관
bailiffs	bailiff	집행관
goulash	goulash	굴라시
goulashes	goulash	굴라시
pembroke	pembroke	펨브로크
pembrokes	pembroke	펨브로크
caff	caff	커피
caffs	caff	커피
biggies	biggies	거물
botfly	botfly	말파리
botflies	botfly	말파리
despotism	despotism	전제주의
despotisms	despotism	전제주의
minimus	minimus	최소
minimuses	minimus	최소
redistricting	redistricting	재구획
osage	osage	오세이지
osages	osage	오세이지
parsimonious	parsimonious	지극히 검소한
mandrake	mandrake	맨드레이크
mandrakes	mandrake	맨드레이크
reportage	reportage	보도
reportages	reportage	보도
purposeless	purposeless	목적 없는
genealogical	genealogical	족보상의
blurrier	blurrier	흐릿한
morel	morel	곰보버섯
morels	morel	곰보버섯
subcontractor	subcontractor	하청업체
subcontractors	subcontractor	하청업체
bechamel	bechamel	베사멜
bechamels	bechamel	베사멜
expensively	expensively	비싸게
fop	fop	팝
fops	fop	팝
vermiculite	vermiculite	질석
vermiculites	vermiculite	질석
niggardly	niggardly	인색하게
spackle	spackle	번데기
spackles	spackle	번데기
throaty	throaty	목구멍이
throatiest	throaty	목구멍이
throatier	throaty	목구멍이
inarticulate	inarticulate	분명치 않은
relevantly	relevantly	관련하여
caseworker	caseworker	사회 복지사
caseworkers	caseworker	사회 복지사
gambia	gambia	감비아
gambias	gambia	감비아
possessor	possessor	소유자
possessors	possessor	소유자
regale	regale	감청색
regaled	regale	감청색
regales	regale	감청색
regaling	regale	감청색
meritorious	meritorious	공로가 있는
allspice	allspice	피망
allspices	allspice	피망
capote	capote	후드 달린 긴 외투
capotes	capote	후드 달린 긴 외투
stonewalling	stonewalling	의사 방해
sequin	sequin	스팽글
sequins	sequin	스팽글
overestimation	overestimation	과대평가
overestimations	overestimation	과대평가
handpicked	handpicked	손으로 고른
kilowatt	kilowatt	킬로와트
kilowatts	kilowatt	킬로와트
quintessence	quintessence	정수
quintessences	quintessence	정수
lichen	lichen	이끼
lichens	lichen	이끼
cupola	cupola	큐폴라
cupolas	cupola	큐폴라
tourer	tourer	투어러
tourers	tourer	투어러
agha	agha	전쟁
aghas	agha	전쟁
ketch	ketch	케치
ketches	ketch	케치
shortish	shortish	좀 짧은
rennet	rennet	달렸다
rennets	rennet	달렸다
embouchure	embouchure	대변자
embouchures	embouchure	대변자
thresher	thresher	탈곡기
threshers	thresher	탈곡기
fearlessness	fearlessness	두려움 없음
fearlessnesses	fearlessness	두려움 없음
goby	goby	망둑어
gobies	goby	망둑어
commandeer	commandeer	제멋대로 쓰다
commandeered	commandeer	제멋대로 쓰다
commandeering	commandeer	제멋대로 쓰다
commandeers	commandeer	제멋대로 쓰다
satori	satori	사토리
satoris	satori	사토리
irritatingly	irritatingly	짜증나게
contributory	contributory	출자 의무
abductor	abductor	납치범
abductors	abductor	납치범
marcher	marcher	걷기
marchers	marcher	걷기
anybodies	anybodies	누구든지
desegregation	desegregation	인종 차별 대우 폐지
desegregations	desegregation	인종 차별 대우 폐지
spiny	spiny	곤란한
spiniest	spiny	곤란한
spinier	spiny	곤란한
mechanistic	mechanistic	기계적
whiting	whiting	민들레
franciscan	franciscan	프란체스코회
franciscans	franciscan	프란체스코회
splicer	splicer	접속기
splicers	splicer	접속기
suchlike	suchlike	그런
guar	guar	구아
guars	guar	구아
formalism	formalism	형식주의
formalisms	formalism	형식주의
archdiocese	archdiocese	대교구
archdioceses	archdiocese	대교구
vestibule	vestibule	현관
vestibules	vestibule	현관
undefinable	undefinable	정의할 수 없는
walkabout	walkabout	산책길
walkabouts	walkabout	산책길
ventilate	ventilate	환기시키다
ventilated	ventilate	환기시키다
ventilates	ventilate	환기시키다
ventilating	ventilate	환기시키다
pensioner	pensioner	연금 수령자
pensioners	pensioner	연금 수령자
convene	convene	소집하다
convened	convene	소집하다
convenes	convene	소집하다
convening	convene	소집하다
snarf	snarf	콧물을 흘리다
snarfed	snarf	콧물을 흘리다
snarfing	snarf	콧물을 흘리다
snarfs	snarf	콧물을 흘리다
retch	retch	구역질
retched	retch	구역질
retches	retch	구역질
retching	retch	구역질
timpani	timpani	팀파니
conflagration	conflagration	큰 화재
conflagrations	conflagration	큰 화재
incorrigible	incorrigible	고칠 수 없는
polymorphic	polymorphic	다형성
fils	fils	아들
filses	fils	아들
framer	framer	프레이머
framers	framer	프레이머
convolution	convolution	회선
convolutions	convolution	회선
multivariate	multivariate	다변량
provident	provident	섭리적인
cohesively	cohesively	응집력 있게
clatter	clatter	덜거덕거리는 소리
clattered	clatter	덜거덕거리는 소리
clattering	clatter	덜거덕거리는 소리
clatters	clatter	덜거덕거리는 소리
fluorine	fluorine	불소
fluorines	fluorine	불소
muzzy	muzzy	멍한
muzziest	muzzy	멍한
muzzier	muzzy	멍한
zaman	zaman	시간
zamans	zaman	시간
twiggy	twiggy	잔가지 같은
twiggiest	twiggy	잔가지 같은
twiggier	twiggy	잔가지 같은
reintegrate	reintegrate	재통합하다
reintegrated	reintegrate	재통합하다
reintegrates	reintegrate	재통합하다
reintegrating	reintegrate	재통합하다
ponderous	ponderous	매우 무거운
conniption	conniption	결합
conniptions	conniption	결합
cyclonic	cyclonic	격렬한
lawmaking	lawmaking	입법
lawmakings	lawmaking	입법
rearrangement	rearrangement	재배치
rearrangements	rearrangement	재배치
desiccant	desiccant	건조제
desiccants	desiccant	건조제
cutback	cutback	삭감
cutbacks	cutback	삭감
concurrence	concurrence	동시
concurrences	concurrence	동시
administrate	administrate	관리됨
administrated	administrate	관리됨
administrates	administrate	관리됨
administrating	administrate	관리됨
sublimation	sublimation	승화
sublimations	sublimation	승화
chartreuse	chartreuse	연두빛
chartreuses	chartreuse	연두빛
industrially	industrially	산업적으로
healthful	healthful	건강에 좋은
newlywed	newlywed	신혼
newlyweds	newlywed	신혼
lazuli	lazuli	라줄리
lazulis	lazuli	라줄리
skilful	skilful	잘 만들어진
doubler	doubler	더블러
doublers	doubler	더블러
iterators	iterators	반복자
arrhythmia	arrhythmia	부정맥
arrhythmias	arrhythmia	부정맥
platooning	platooning	군집주행
verity	verity	진실성
verities	verity	진실성
chapeau	chapeau	모자
chapeaus	chapeau	모자
mutagen	mutagen	돌연변이 유발물질
mutagens	mutagen	돌연변이 유발물질
sente	sente	느끼다
lisente	sente	느끼다
leaker	leaker	유출자
leakers	leaker	유출자
talky	talky	말이 많은
talkiest	talky	말이 많은
talkier	talky	말이 많은
chairlift	chairlift	리프트
chairlifts	chairlift	리프트
horridly	horridly	끔찍하게
straightforwardly	straightforwardly	솔직하게
hypoglycemic	hypoglycemic	저혈당
clobber	clobber	멍청이
clobbered	clobber	멍청이
clobbering	clobber	멍청이
clobbers	clobber	멍청이
irreverence	irreverence	불경
irreverences	irreverence	불경
novation	novation	갱신
novations	novation	갱신
pogrom	pogrom	학살
pogroms	pogrom	학살
recumbent	recumbent	가로 누운
interconnection	interconnection	상호 연결
interconnections	interconnection	상호 연결
condolence	condolence	조위
condolences	condolence	조위
alkali	alkali	알칼리
alkalies	alkali	알칼리
alkalis	alkali	알칼리
moho	moho	오
mohos	moho	오
disuse	disuse	쓰지 않음
disuses	disuse	쓰지 않음
allegheny	allegheny	앨러게니
alleghenies	allegheny	앨러게니
whipper	whipper	휘퍼
whippers	whipper	휘퍼
bobsled	bobsled	봅슬레이
bobsleded	bobsled	봅슬레이
bobsleding	bobsled	봅슬레이
bobsleds	bobsled	봅슬레이
thermally	thermally	열적으로
ovum	ovum	난자
ova	ovum	난자
gobbler	gobbler	도깨비
gobblers	gobbler	도깨비
repudiate	repudiate	부인하다
repudiated	repudiate	부인하다
repudiates	repudiate	부인하다
repudiating	repudiate	부인하다
noncommittal	noncommittal	비확약
condominium	condominium	분양 아파트
condominiums	condominium	분양 아파트
prion	prion	프리온
prions	prion	프리온
tzar	tzar	황제
tzars	tzar	황제
excitation	excitation	자극
excitations	excitation	자극
imperious	imperious	거만한
ethylene	ethylene	에틸렌
ethylenes	ethylene	에틸렌
counterterrorism	counterterrorism	대테러
counterterrorisms	counterterrorism	대테러
igneous	igneous	불의
sapience	sapience	지능
sapiences	sapience	지능
stenosis	stenosis	협착증
stenoses	stenosis	협착증
clemency	clemency	관용
clemencies	clemency	관용
shogunate	shogunate	막부
shogunates	shogunate	막부
glum	glum	무뚝뚝한
glummer	glum	무뚝뚝한
glummest	glum	무뚝뚝한
supplicant	supplicant	간청하다
supplicants	supplicant	간청하다
pelting	pelting	펠팅
privet	privet	사유
privets	privet	사유
shitlist	shitlist	똥 목록
shitlists	shitlist	똥 목록
instep	instep	발등
insteps	instep	발등
preschooler	preschooler	미취학 아동
preschoolers	preschooler	미취학 아동
frontally	frontally	정면으로
unsettle	unsettle	뒤흔들다
unsettled	unsettle	뒤흔들다
unsettles	unsettle	뒤흔들다
unsettling	unsettle	뒤흔들다
unsettlings	unsettle	뒤흔들다
vertebrate	vertebrate	척골가 있는
vertebrates	vertebrate	척골가 있는
rightist	rightist	우파
rightists	rightist	우파
injurious	injurious	해로운
tern	tern	세 개 한 벌
terns	tern	세 개 한 벌
phlebotomist	phlebotomist	정맥학자
phlebotomists	phlebotomist	정맥학자
crake	crake	크레이크
crakes	crake	크레이크
submersible	submersible	잠수정
submersibles	submersible	잠수정
whist	whist	휘파람 불다
whists	whist	휘파람 불다
mammy	mammy	엄마
mammies	mammy	엄마
tearjerker	tearjerker	눈물을 흘리는 사람
tearjerkers	tearjerker	눈물을 흘리는 사람
paperboy	paperboy	신문 배달원
paperboys	paperboy	신문 배달원
circularize	circularize	원형화하다
circularized	circularize	원형화하다
circularizes	circularize	원형화하다
circularizing	circularize	원형화하다
pugilist	pugilist	권투선수
pugilists	pugilist	권투선수
armguard	armguard	팔 보호대
armguards	armguard	팔 보호대
seasick	seasick	배멀미
seasicker	seasick	배멀미
seasickest	seasick	배멀미
trapezoid	trapezoid	사다리꼴의
trapezoids	trapezoid	사다리꼴의
untruth	untruth	거짓
untruths	untruth	거짓
shrike	shrike	소리를 지르다
shrikes	shrike	소리를 지르다
wisteria	wisteria	등나무
wisterias	wisteria	등나무
syndicalism	syndicalism	생디칼리슴
syndicalisms	syndicalism	생디칼리슴
suet	suet	양고기
suets	suet	양고기
communally	communally	공동으로
gelding	gelding	내시
typographical	typographical	인쇄상의
vermillion	vermillion	주홍
serialize	serialize	직렬화하다
serialized	serialize	직렬화하다
serializes	serialize	직렬화하다
serializing	serialize	직렬화하다
characteristically	characteristically	특징적으로
separable	separable	뗄 수 있는
uncannily	uncannily	신기하게도
notate	notate	알아채다
notated	notate	알아채다
notates	notate	알아채다
notating	notate	알아채다
thieve	thieve	훔치다
thieved	thieve	훔치다
thieves	thieve	훔치다
thievings	thieve	훔치다
prospectus	prospectus	취지서
prospectuses	prospectus	취지서
inanity	inanity	광기
inanities	inanity	광기
remount	remount	새말
remounted	remount	새말
remounting	remount	새말
remounts	remount	새말
minuet	minuet	미뉴에트
minuets	minuet	미뉴에트
servile	servile	비굴한
bumpkin	bumpkin	멍청이
bumpkins	bumpkin	멍청이
backstroke	backstroke	배영
backstroked	backstroke	배영
backstrokes	backstroke	배영
backstroking	backstroke	배영
lyre	lyre	거문고
lyres	lyre	거문고
breaststroke	breaststroke	평영
breaststroked	breaststroke	평영
breaststrokes	breaststroke	평영
breaststroking	breaststroke	평영
quoth	quoth	쿼쓰
gilder	gilder	금더
gilders	gilder	금더
woodruff	woodruff	우드럽
woodruffs	woodruff	우드럽
cloverleaf	cloverleaf	클로버잎
cloverleafs	cloverleaf	클로버잎
cloverleaves	cloverleaf	클로버잎
abrogation	abrogation	폐기
abrogations	abrogation	폐기
marimba	marimba	마림바
marimbas	marimba	마림바
provost	provost	교무처장
provosts	provost	교무처장
felonious	felonious	중범죄의
feckless	feckless	무모한
interlocutor	interlocutor	대담자
interlocutors	interlocutor	대담자
asexually	asexually	무성애적으로
buckaroo	buckaroo	버커루
buckaroos	buckaroo	버커루
baptismal	baptismal	세례의
hawkish	hawkish	매파적인
ruffian	ruffian	악당
ruffians	ruffian	악당
judiciously	judiciously	신중하게
impartially	impartially	공평하게
sabra	sabra	이스라엘 순수한 이스라엘 인
sabras	sabra	이스라엘 순수한 이스라엘 인
telecommute	telecommute	재택근무
whither	whither	어디로
browbeat	browbeat	눈썹을 치다
browbeaten	browbeat	눈썹을 치다
browbeating	browbeat	눈썹을 치다
browbeatings	browbeat	눈썹을 치다
browbeats	browbeat	눈썹을 치다
bilge	bilge	중배
bilged	bilge	중배
bilges	bilge	중배
bilging	bilge	중배
craggy	craggy	울퉁불퉁한
craggiest	craggy	울퉁불퉁한
craggier	craggy	울퉁불퉁한
tabu	tabu	금기
tabus	tabu	금기
disused	disused	사용하지 않는
determinist	determinist	결정론자
determinists	determinist	결정론자
russet	russet	적갈색
russets	russet	적갈색
scummiest	scummiest	가장 더러운
tortuous	tortuous	비뚤어진
disengagement	disengagement	해방
disengagements	disengagement	해방
controversially	controversially	논란의 여지가 있는
morpheme	morpheme	형태소
morphemes	morpheme	형태소
repossess	repossess	압수하다
repossessed	repossess	압수하다
repossesses	repossess	압수하다
repossessing	repossess	압수하다
industrialize	industrialize	산업화하다
industrialized	industrialize	산업화하다
industrializes	industrialize	산업화하다
industrializing	industrialize	산업화하다
likeliest	likeliest	가능성이 가장 높은
venereal	venereal	성병의
occident	occident	서쪽
occidents	occident	서쪽
canny	canny	영리한
canniest	canny	영리한
cannier	canny	영리한
dependability	dependability	믿을 수 있음
dependabilities	dependability	믿을 수 있음
spinster	spinster	노처녀
spinsters	spinster	노처녀
chutzpah	chutzpah	후츠파
chutzpahs	chutzpah	후츠파
fain	fain	기꺼이
fainer	fain	기꺼이
fainest	fain	기꺼이
retouch	retouch	수정
retouched	retouch	수정
retouches	retouch	수정
retouching	retouch	수정
jotunn	jotunn	언젠가
jotunns	jotunn	언젠가
polyglot	polyglot	여러 언어를 사용하는
polyglots	polyglot	여러 언어를 사용하는
pilled	pilled	껍질을 벗긴
pastiche	pastiche	파스티슈
pastiches	pastiche	파스티슈
codpiece	codpiece	코드피스
codpieces	codpiece	코드피스
rhinestone	rhinestone	모조 다이아몬드
rhinestones	rhinestone	모조 다이아몬드
yodel	yodel	요들
yodeled	yodel	요들
yodeling	yodel	요들
yodelled	yodel	요들
yodelling	yodel	요들
yodels	yodel	요들
overtone	overtone	배음
overtones	overtone	배음
prentice	prentice	견습생
prentices	prentice	견습생
yelping	yelping	소리지르다
commemoration	commemoration	기념
commemorations	commemoration	기념
smokehouse	smokehouse	훈제장
smokehouses	smokehouse	훈제장
cruncher	cruncher	크런처
eroticism	eroticism	에로티시즘
eroticisms	eroticism	에로티시즘
laotian	laotian	라오스의
laotians	laotian	라오스의
wringer	wringer	착취하는 사람
wringers	wringer	착취하는 사람
tasse	tasse	구실
tasses	tasse	구실
amman	amman	암만
ammans	amman	암만
mesothelioma	mesothelioma	중피종
mesotheliomas	mesothelioma	중피종
knotty	knotty	매듭이 있는
knottiest	knotty	매듭이 있는
knottier	knotty	매듭이 있는
shiitake	shiitake	표고버섯
shiitakes	shiitake	표고버섯
doob	doob	하나의
doobs	doob	하나의
lookalikes	lookalikes	닮은꼴
octet	octet	팔중주
octets	octet	팔중주
lambast	lambast	양에서
lambasted	lambast	양에서
lambastes	lambast	양에서
lambasting	lambast	양에서
lambasts	lambast	양에서
coronet	coronet	제관
coronets	coronet	제관
quince	quince	모과
quinces	quince	모과
brainstem	brainstem	뇌간
brainstems	brainstem	뇌간
derisively	derisively	조롱적으로
rummy	rummy	러미
rummies	rummy	러미
aubergine	aubergine	가지
aubergines	aubergine	가지
floorboard	floorboard	마루판
floorboards	floorboard	마루판
architecturally	architecturally	건축학적으로
plagiarist	plagiarist	표절자
plagiarists	plagiarist	표절자
obit	obit	오비트
obits	obit	오비트
strongbox	strongbox	금고
strongboxes	strongbox	금고
gigolo	gigolo	지골로
gigolos	gigolo	지골로
bramble	bramble	가시나무
brambles	bramble	가시나무
micronutrient	micronutrient	미량 영양소
micronutrients	micronutrient	미량 영양소
concatenation	concatenation	연쇄
concatenations	concatenation	연쇄
attune	attune	맞추다
attuned	attune	맞추다
attunes	attune	맞추다
attuning	attune	맞추다
naltrexone	naltrexone	날트렉손
naltrexones	naltrexone	날트렉손
octagonal	octagonal	팔각형
militantly	militantly	전투적으로
lurid	lurid	어쩐지 기분 나쁜
lurider	lurid	어쩐지 기분 나쁜
luridest	lurid	어쩐지 기분 나쁜
southernmost	southernmost	최남단
facially	facially	얼굴로
jeering	jeering	조롱
grapeshot	grapeshot	포도탄
grapeshots	grapeshot	포도탄
debrief	debrief	보고
debriefed	debrief	보고
debriefings	debrief	보고
debriefs	debrief	보고
reinsert	reinsert	다시 삽입
nympho	nympho	색녀
nymphos	nympho	색녀
didactic	didactic	남을 가르치고 싶어하는
ripening	ripening	성숙
untidy	untidy	어수선한
untidiest	untidy	어수선한
untidier	untidy	어수선한
whitetail	whitetail	흰꼬리
whitetails	whitetail	흰꼬리
dysthymia	dysthymia	기분부전증
dysthymias	dysthymia	기분부전증
basso	basso	베이스
bassi	basso	베이스
bassos	basso	베이스
basilica	basilica	공회당
basilicas	basilica	공회당
zoophilia	zoophilia	동물애호증
zoophilias	zoophilia	동물애호증
sounder	sounder	음향기
sounders	sounder	음향기
adjudicate	adjudicate	판결하다
adjudicated	adjudicate	판결하다
adjudicates	adjudicate	판결하다
adjudicating	adjudicate	판결하다
sonogram	sonogram	초음파
sonograms	sonogram	초음파
tickler	tickler	비망록
ticklers	tickler	비망록
overachiever	overachiever	지나치게 성취하는 사람
overachievers	overachiever	지나치게 성취하는 사람
caiman	caiman	카이만
caimans	caiman	카이만
attenuator	attenuator	감쇠기
attenuators	attenuator	감쇠기
suburbanite	suburbanite	교외 사람
suburbanites	suburbanite	교외 사람
threefold	threefold	삼면 장치
pannier	pannier	불
panniers	pannier	불
kansan	kansan	공공의
kansans	kansan	공공의
diversionary	diversionary	기분 전환의
forger	forger	위조자
forgers	forger	위조자
jailhouse	jailhouse	감옥
jailhouses	jailhouse	감옥
speculum	speculum	검경
specula	speculum	검경
speculums	speculum	검경
scallion	scallion	파
scallions	scallion	파
phishers	phishers	피셔
fastening	fastening	죔
tendril	tendril	덩굴손
tendrils	tendril	덩굴손
empiricist	empiricist	경험주의 과학자
empiricists	empiricist	경험주의 과학자
hijacker	hijacker	납치범
hijackers	hijacker	납치범
peacefulness	peacefulness	평화로움
peacefulnesses	peacefulness	평화로움
stoma	stoma	장루
stomas	stoma	장루
stomata	stoma	장루
partizan	partizan	도당
partizans	partizan	도당
preordain	preordain	미리 정하다
preordained	preordain	미리 정하다
preordaining	preordain	미리 정하다
preordains	preordain	미리 정하다
martingale	martingale	마틴게일
martingales	martingale	마틴게일
unionism	unionism	조합주의
unionisms	unionism	조합주의
absently	absently	멍하니
crystallization	crystallization	결정화
crystallizations	crystallization	결정화
embolden	embolden	색전
emboldened	embolden	색전
emboldening	embolden	색전
emboldens	embolden	색전
mutualism	mutualism	상호주의
mutualisms	mutualism	상호주의
chronicler	chronicler	연대기 편자
